Item Id,Category,SKU,Title,Inventory Count,Sheet Date,L CHECK,Price,30,60,90,180,360,Bonsai Date,Message,Family
5515,TIPM,04692304 T1 NO LID,2010 JEEP LIBERTY NITRO TIPM TEMIC INTEGRATED FUSE BOX MODULE 04692304 REBUILT,9,10.06.20,03.27.26,209.99,2,2,3,6,13,,TIPM1,04692304
1168,TIPM,04692304 T1 W LID,2010 LIBERTY NITRO TIPM TEMIC INTEGRATED FUSE BOX MODULE 04692304 REBUILT,8,05.03.18,03.27.26,224.99,1,1,4,12,25,01.13.25,TIPM1,04692304
5536,TIPM,04692305 T1 NO LID,2010 JOURNEY CARAVAN TIPM TEMIC INTEGRATED FUSE BOX MODULE 04692305 REBUILT OE,4,10.13.20,03.13.26,234.99,2,3,6,11,20,,TIPM2,04692305
1199,TIPM,04692305 T1 W/LID,2010 JOURNEY CARAVAN TIPM TEMIC INTEGRATED FUSE BOX MODULE 04692305 REBUILT OEM,1,08.25.20,03.13.26,259.99,3,3,4,10,26,,TIPM2,04692305
1196,TIPM,04692316 T1 NO LID,11 DURANGO GRAND CHEROKEE TIPM TEMIC INTEGRATED FUSE BOX MODULE 04692316 REMAN,2,03.02.21,03.13.26,314.99,2,2,3,5,5,09.09.25,TIPM1,04692316
4667,TIPM,04692316 T1 W/LID,11 DURANGO GRAND CHEROKEE TIPM TEMIC INTEGRATED OEM FUSE BOX 04692316 REBUILT,4,03.05.20,03.13.26,329.99,3,5,7,19,28,09.09.25,TIPM1,04692316
10004,TIPM,04692330 T1 NO LID,2011  11 JEEP LIBERTY NITRO TEMIC INTEGRATED OEM FUSE BOX TIPM 04692330 REBUILT,2,01.25.24,03.06.26,214.99,0,0,0,0,1,,TIPM2,04692330
5601,TIPM,04692330 T1 W/LID,11 JEEP LIBERTY NITRO TIPM TEMIC INTEGRATED OEM FUSE BOX 04692330 REBUILT,3,10.29.20,03.06.26,224.99,0,0,2,3,8,,TIPM2,04692330
4531,TIPM,04692331 T1 NO LID,11 LIBERTY NITRO TIPM TEMIC INTEGRATED FUSE BOX MODULE 04692331AD REBUILT,1,04.18.22,03.30.26,289.99,2,2,3,5,9,,TIPM1,04692331
3998,TIPM,04692331 T1 w LID,2011 JEEP LIBERTY NITRO TIPM TEMIC INTEGRATED FUSE BOX MODULE 04692331 REBUILT,1,10.28.19,03.30.26,299.99,2,4,4,8,17,,TIPM2,04692331
11193,TIPM,04692333 T1 NO LID,10-12 CALIBER COMPASS FUSE BOX INTEGRATED POWER RELAY MODULE BCM 04692333,2,11.7.24,03.20.26,134.99,0,1,1,1,1,11.06.24,TIPM3,04692333
10752,TIPM,04692333 T1 w LID,10-12 CALIBER COMPASS FUSE BOX INTEGRATED POWER RELAY MODULE BCM 04692333,5,11.7.24,03.20.26,144.99,0,0,0,0,5,11.06.24,TIPM3,04692333
900,TIPM,04692335 T1 W/LID,2011 JOURNEY CARAVAN TIPM TEMIC INTEGRATED FUSE BOX MODULE 04692335 REBUILT,1,09.01.20,03.27.26,294.99,1,1,2,6,11,,TIPM2,04692335
11194,TIPM,04692346 T1 NO LID,11-14 AVENGER 200 FUSE BOX INTEGRATED POWER RELAY MODULE BCM 04692346 TESTED,2,01.29.26,03.06.26,154.99,0,1,1,1,1,05.12.25,TIPM2,04692346
5350,TIPM,04692346 T1 W LID,11-14 AVENGER 200 FUSE BOX INTEGRATED POWER RELAY MODULE BCM 04692346 TESTED,2,08.27.20,03.06.26,164.99,0,0,0,1,3,05.12.25,TIPM2,04692346
11204,TIPM,04692555 T1 NO LID,10-12 CALIBER PATRIOT FUSE BOX INTEGRATED POWER RELAY MODULE BCM 04692555 OE,1,02.04.26,03.06.26,134.99,0,0,0,0,0,11.06.24,TIPM3,04692555
5669,TIPM,04692555 T1 W LID,10-12 CALIBER PATRIOT FUSE BOX INTEGRATED POWER RELAY MODULE BCM 04692555 TESTED,2,11.12.20,03.06.26,139.99,2,3,4,4,6,11.06.24,TIPM3,04692555
5642,TIPM,04692777 NO LID,08-09 SEBRING AVENGER INTEGRATED POWER RELAY MODULE FUSE BOX BCM 04692777 TESTED,2,09.04.25,03.20.26,159.99,1,1,1,2,3,,TIPM2,04692777
5637,TIPM,04692777 W LID,08-09 AVENGER SEBRING FUSE BOX INTEGRATED POWER RELAY MODULE BCM 04692777 TESTED,2,11.03.20,03.20.26,174.99,0,0,0,1,5,11.7.24,TIPM2,04692777
10260,PCM,04727880 0281015188 NO PRO NO FLASH,08-10 GRAND VOYAGER 2.8L DIESEL ECU ECM PCM CONTROL MODULE 0281015188 04727880,1,05.03.24,03.06.26,374.99,0,0,0,0,0,,,0281015188
6127,PCM,04886909 NO SEC,96 RAM VAN 1500 2500 A/T 5.2L AT ECU ECM PCM ENGINE COMPUTER 04886909 TESTED OEM,1,10.06.25,03.20.26,374.99,0,0,0,0,0,10.06.25,MOPAR1,05014516AA
8557,PCM,05018493AA 56028557 NO SEC FLASH,00 DODGE RAM 2500 3500 8.0L ECU ECM PCM ENGINE COMPUTER 56028557AD OEM TESTED,2,12.23.21,03.13.26,339.99,0,0,0,0,0,,MOPAR1,05018493AA
8558,PCM,05018493AA 56040154 NO SEC FLASH,00 DODGE RAM 2500 3500 8.0L ECU ECM PCM ENGINE COMPUTER 56040154AD OEM TESTED,2,12.23.21,03.13.26,324.99,0,0,0,0,0,,MOPAR1,05018493AA
8559,PCM,05018493AA 56040155 NO SEC FLASH,00 DODGE RAM 2500 3500 8.0L ECU ECM PCM ENGINE COMPUTER 56040155AE OEM TESTED,2,12.23.21,03.13.26,389.99,0,0,0,0,0,,MOPAR1,05018493AA
5904,PCM,05018493AA 56040157 NO SEC FLASH,98 DODGE RAM 3500 A/T HD 8.0L AT ECU ECM PCM ENGINE COMPUTER 56040157AC TESTED,2,01.15.21,03.13.26,299.99,0,0,0,0,0,,MOPAR1,05018493AA
7507,PCM,05018493AA 56040418 NO SEC FLASH,00 DODGE RAM 2500 3500 8.0L ECU ECM PCM ENGINE COMPUTER 56040418AF OEM TESTED,2,12.23.21,03.13.26,374.99,0,0,0,0,0,,MOPAR1,05018493AA
3584,PCM,05018493AA 56040420 NO SEC FLASH,00 DODGE RAM 2500 3500 8.0L ECU ECM PCM ENGINE COMPUTER 56040420AG OEM TESTED,2,08.15.19,03.13.26,299.99,0,0,0,0,0,,MOPAR1,05018493AA
10441,PCM,05029894 NO SEC BAD LOCKTAB,05 DODGE VIPER 8.3L ECU ECM PCM ENGINE COMPUTER 05029894AF BAD LOCKTAB TESTED,1,07.02.24,03.20.26,949.99,0,0,0,0,0,,MOPAR1,NONE
249,PCM,05033290AE 05094461 FLASH,05 CHRYSLER PT CRUISER 2.4L M/T ECU ECM PCM ENGINE COMPUTER 05094461AB TESTED,2,08.13.20,03.27.26,214.99,0,0,0,0,0,,MOPAR1,05033290AE
3132,PCM,05033290AE 05094463 FLASH,05 CHRYSLER PT CRUISER 2.4T M/T ECU ECM PCM ENGINE COMPUTER 05094463AC TESTED,2,06.05.19,03.27.26,294.99,0,0,0,0,1,,MOPAR1,05033290AE
10200,ECM,05033291AD 05033280 FLASH,05 CHRYSLER PT CRUISER 2.4L A/T ECU ECM PCM ENGINE COMPUTER 05033280AG TESTED,3,04.29.24,03.27.26,194.99,0,0,0,0,0,,MOPAR1,05033291AD
10202,PCM,05033291AD 05094462 FLASH,05 CHRYSLER PT CRUISER 2.4L A/T ECU ECM PCM ENGINE COMPUTER 05094462AE TESTED,3,04.29.24,03.27.26,168.99,0,0,0,0,2,,MOPAR1,05033291AD
9533,PCM,05033292 05033288 FLASH,04 CHRYSLER PT CRUISER 2.4L TURBO ECU ECM PCM ENGINE COMPUTER 05033288 TESTED,1,12.05.19,03.27.26,344.99,0,0,0,0,0,,MOPAR1,05033292AD
4165,PCM,05033292 05033293 SKIM,04 CHRYSLER PT CRUISER 2.4L TURBO ECU ECM PCM ENGINE COMPUTER 05033293AJ TESTED,1,12.05.19,03.27.26,174.99,0,0,0,0,0,,MOPAR1,05033292AD
9534,PCM,05033292 05094465 FLASH,05 CHRYSLER PT CRUISER 2.4L TURBO ECU ECM PCM ENGINE COMPUTER 05094465 TESTED,1,12.05.19,03.27.26,189.99,0,0,0,0,1,,MOPAR1,05033292AD
9535,PCM,05033292 05094467 FLASH,04 CHRYSLER PT CRUISER 2.4L TURBO ECU ECM PCM ENGINE COMPUTER 05094467 TESTED,1,12.05.19,03.27.26,189.99,1,1,1,1,2,,MOPAR1,05033292AD
8859,PCM,05033439AD 05033427 FLASH,06 CHRYSLER PT CRUISER 2.4T M/T ECU ECM PCM ENGINE COMPUTER 05033427AH TESTED,2,01.07.19,03.06.26,194.99,0,0,0,0,0,,MOPAR1,05033439AD
1398,PCM,05033439AD 05033435 FLASH,06 CHRYSLER PT CRUISER 2.4T M/T ECU ECM PCM ENGINE COMPUTER 05033435AH TESTED,2,01.07.19,03.06.26,209.99,0,0,0,0,0,,MOPAR1,05033439AD
8860,PCM,05033439AD 05094446 FLASH,06 CHRYSLER PT CRUISER 2.4T M/T ECU ECM PCM ENGINE COMPUTER 05094446AH TESTED,2,01.07.19,03.06.26,194.99,0,0,0,0,0,,MOPAR1,05033439AD
664,PCM,05033439AD 05094447 FLASH,06 CHRYSLER PT CRUISER 2.4L A/T ECU ECM PCM ENGINE COMPUTER 05094447AI TESTED,2,09.05.18,03.06.26,214.99,1,1,2,2,2,,MOPAR1,05033439AD
8861,PCM,05033439AD 05094682 FLASH,06 CHRYSLER PT CRUISER 2.4T M/T ECU ECM PCM ENGINE COMPUTER 05094682AG TESTED,2,01.07.19,03.06.26,199.99,0,0,0,1,1,10.31.24,MOPAR1,05033439AD
8862,PCM,05033439AD 05094685 FLASH,06 CHRYSLER PT CRUISER 2.4T M/T ECU ECM PCM ENGINE COMPUTER 05094685AH TESTED,2,01.07.19,03.06.26,194.99,0,0,0,0,0,,MOPAR1,05033439AD
8864,PCM,05033439AD 05094686 FLASH,06 CHRYSLER PT CRUISER 2.4T M/T ECU ECM PCM ENGINE COMPUTER 05094686AE TESTED,2,01.07.19,03.06.26,214.99,0,0,0,0,0,10.31.24,MOPAR1,05033439AD
8863,PCM,05033439AD 05271926 FLASH,06 CHRYSLER PT CRUISER 2.4T M/T ECU ECM PCM ENGINE COMPUTER 05271926AF TESTED,2,01.07.19,03.06.26,214.99,0,0,0,0,0,10.31.24,MOPAR1,05033439AD
8659,PCM,05034440AD 05033426 FLASH,06 CHRYSLER PT CRUISER 2.4L A/T OEM ENGINE COMPUTER ECU ECM PCM 05033426 TESTED,1,09.08.22,03.20.26,174.99,0,0,0,0,0,,MOPAR1,05034440AD
8660,PCM,05034440AD 05033431 FLASH,06 CHRYSLER PT CRUISER 2.4L A/T ENGINE COMPUTER ECU ECM PCM 05033431AJ TESTED,1,09.08.22,03.20.26,174.99,0,0,0,0,0,,MOPAR1,05034440AD
8661,PCM,05034440AD 05094452 FLASH,06 CHRYSLER PT CRUISER 2.4L A/T ENGINE COMPUTER ECU ECM PCM 05094452AJ TESTED,1,09.08.22,03.20.26,239.99,0,0,0,0,0,,MOPAR1,05034440AD
8956,PCM,05034440AD 05094687 FLASH,06 CHRYSLER PT CRUISER 2.4L A/T ENGINE COMPUTER ECU ECM PCM 05094687AI TESTED,1,09.08.22,03.20.26,179.99,0,0,0,0,0,,MOPAR1,05034440AD
8665,PCM,05034440AD 05094689 FLASH,06 CHRYSLER PT CRUISER 2.4L A/T ENGINE COMPUTER ECU ECM PCM 05094689AJ TESTED,1,09.08.22,03.20.26,223.99,0,0,0,0,0,,MOPAR1,05034440AD
10142,PCM,05035890 NO FLASH CAN PRO,16 DODGE CHARGER 6.2L SRT HELLCAT ECU ECM PCM ENGINE CONTROL COMPUTER 05035890,1,04.16.24,03.13.26,1274.99,0,0,0,0,0,,MOPAR1,68243308AB
1448,PCM,05094148AE 05094098 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05094098AL TESTED,2,,03.13.26,244.99,0,0,1,3,3,11.11.25,MOPAR1,05094148AE
11145,PCM,05094148AE 05094100 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05094100AL TESTED,2,,03.20.26,294.99,0,0,0,0,0,11.11.25,MOPAR1,05094148AE
11154,PCM,05094148AE 05094358 FLASH,07 DODGE RAM 3.7L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05094358AH TESTED OEM,2,,03.20.26,274.99,0,0,0,0,0,11.11.25,MOPAR1,05094148AE
11155,PCM,05094148AE 05094359 FLASH,07 DODGE RAM 3.7L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05094359AH TESTED OEM,2,,03.20.26,274.99,0,0,0,0,0,11.11.25,MOPAR1,05094148AE
7631,PCM,05094148AE 05094647 FLASH,07 GRAND CHEROKEE 3.7L 4X2 ECU ECM PCM ENGINE COMPUTER UNIT 05094647AG PROBADA,2,04.18.19,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7632,PCM,05094148AE 05094669 FLASH,07 GRAND CHEROKEE 3.7L 4X4 ECU ECM PCM ENGINE COMPUTER UNIT 05094669AG PROBADA,2,04.18.19,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7619,PCM,05094148AE 05094670 FLASH,07 JEEP COMMANDER 3.7L 4X2 ECU ECM PCM ENGINE COMPUTER UNIT 05094670AG PROBADA,2,01.10.22,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
6279,PCM,05094148AE 05094887 FLASH,07 JEEP COMMANDER 3.7L 4X4 ECU ECM PCM ENGINE COMPUTER UNIT 05094887AG PROBADA,2,04.18.19,03.13.26,244.99,0,0,0,0,5,,MOPAR1,05094148AE
1442,PCM,05094148AE 05094888 FLASH,07 GRAND CHEROKEE 3.7L AWD ECU ECM PCM ENGINE COMPUTER UNIT 05094888AG PROBADA,2,04.18.19,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7633,PCM,05094148AE 05187042 FLASH,07 GRAND CHEROKEE 3.7L AWD ECU ECM PCM ENGINE COMPUTER UNIT 05187042AG PROBADA,2,04.18.19,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7634,PCM,05094148AE 05187043 FLASH,07 GRAND CHEROKEE 3.7L 4x2 ECU ECM PCM ENGINE COMPUTER UNIT 05187043AG PROBADA,2,04.18.19,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
1446,PCM,05094148AE 05187133 SKIM,TESTED 07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187133 OEM,2,,03.13.26,294.99,0,0,0,2,2,,MOPAR1,05094148AE 05094148
11146,PCM,05094148AE 05187135 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187135AK TESTED,2,,03.20.26,294.99,0,0,0,0,0,11.11.25,MOPAR1,05094148AE
11147,PCM,05094148AE 05187152 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187152AL TESTED,2,,03.20.26,294.99,2,2,2,2,2,11.11.25,MOPAR1,05094148AE
11148,PCM,05094148AE 05187154 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187154AK TESTED,2,,03.20.26,294.99,0,0,0,1,1,11.11.25,MOPAR1,05094148AE
5361,PCM,05094148AE 05187160 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187160AK TESTED,2,08.31.20,03.13.26,244.99,0,0,4,4,4,11.11.25,MOPAR1,05094148AE
11149,PCM,05094148AE 05187162 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187162AK TESTED,2,,03.20.26,294.99,2,2,2,2,2,11.11.25,MOPAR1,05094148AE
11150,PCM,05094148AE 05187164 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187164AK TESTED,2,,03.20.26,244.99,0,0,0,0,0,11.11.25,MOPAR1,05094148AE
11151,PCM,05094148AE 05187166 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187166AK TESTED,2,,03.20.26,244.99,0,1,1,1,1,11.11.25,MOPAR1,05094148AE
11152,PCM,05094148AE 05187168 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187168AL TESTED,2,,03.20.26,294.99,0,0,0,0,0,11.11.25,MOPAR1,05094148AE
11153,PCM,05094148AE 05187448 FLASH,07 JEEP WRANGLER 3.8L MT ECU ECM PCM ENGINE CONTROL COMPUTER 05187448AK TESTED,2,,03.20.26,294.99,0,0,0,0,0,11.11.25,MOPAR1,05094148AE
7617,PCM,05094148AE 05187671 FLASH,07 JEEP COMMANDER 3.7L 4X2 ECU ECM PCM ENGINE COMPUTER UNIT 05187671AG PROBADA,2,04.18.19,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7621,PCM,05094148AE 68002111 FLASH,07 JEEP COMMANDER 3.7L 4X4 ECU ECM PCM ENGINE COMPUTER UNIT 68002111AG PROBADA,2,01.10.22,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7628,PCM,05094148AE 68026711 FLASH,07 GRAND CHEROKEE 3.7L 4x2 ECU ECM PCM ENGINE COMPUTER UNIT 68026711AC PROBADA,2,05.20.21,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7629,PCM,05094148AE 68026712 FLASH,07 GRAND CHEROKEE 3.7L 4x4 ECU ECM PCM ENGINE COMPUTER UNIT 68026712AC PROBADA,2,01.10.22,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7630,PCM,05094148AE 68026713 FLASH,07 GRAND CHEROKEE 3.7L 4x4 ECU ECM PCM ENGINE COMPUTER UNIT 68026713AC PROBADA,2,01.10.22,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
6655,PCM,05094148AE 68026714 FLASH,07 GRAND CHEROKEE 3.7L AWD ECU ECM PCM ENGINE COMPUTER UNIT 68026714AC PROBADA,2,05.20.21,03.13.26,244.99,0,0,0,0,2,,MOPAR1,05094148AE
6379,PCM,05094148AE 68026715 FLASH,07 GRAND CHEROKEE 3.7L AWD ECU ECM PCM ENGINE COMPUTER UNIT 68026715AC PROBADA,2,05.20.21,03.13.26,244.99,0,0,0,0,2,,MOPAR1,05094148AE
7622,PCM,05094148AE 68026716 FLASH,07 JEEP COMMANDER 3.7L 4X2 ECU ECM PCM ENGINE COMPUTER UNIT 68026716AC PROBADA,2,01.10.22,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7623,PCM,05094148AE 68026717 FLASH,07 JEEP COMMANDER 3.7L 4X2 ECU ECM PCM ENGINE COMPUTER UNIT 68026717AC PROBADA,2,01.10.22,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7626,PCM,05094148AE 68026720 FLASH,07 JEEP COMMANDER 3.7L 4X4 ECU ECM PCM ENGINE COMPUTER UNIT 68026720AC PROBADA,2,01.10.22,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
7627,PCM,05094148AE 68026721 FLASH,07 JEEP COMMANDER 3.7L 4X4 ECU ECM PCM ENGINE COMPUTER UNIT 68026721AC PROBADA,2,01.10.22,03.13.26,244.99,0,0,0,0,1,,MOPAR1,05094148AE
6287,PCM,05094148AE 68027710 FLASH,07 JEEP GRAND CHEROKEE 3.7L 4X2 PCM ECM ECU ENGINE COMPUTER 68027710AC PROBADA,2,04.27B.21,03.13.26,244.99,0,0,0,0,0,,MOPAR1,05094148AE
9961,PCM,05094167 NO SKIM,06 2006 DODGE CARAVAN 2.4L ECU ECM PCM ENGINE COMPUTER 05094167AE TESTED OEM,2,01.09.24,03.06.26,223.99,0,0,0,0,0,,MOPAR1,05094168AD
1388,PCM,05094275 56029218 SKIM,06 RAM 1500 5.7L A/T ECU ECM PCM ENGINE CONTROL COMPUTER 56029218AH OEM TESTED,2,01.15.19,03.20.26,224.99,0,0,0,0,2,,MOPAR1,05094275AD
5432,PCM,05094275 56029219 SKIM,06 DODGE RAM 1500 5.7L ECU ECM PCM ENGINE CONTROL COMPUTER 56029219AH OE TESTED,2,09.16.20,03.20.26,234.99,0,1,1,2,2,,MOPAR1,05094275AD
7816,PCM,05094275 56029242 SKIM,06 RAM 1500 5.7L A/T ECU ECM PCM ENGINE CONTROL COMPUTER 56029242AH OEM TESTED,2,01.15.19,03.20.26,274.99,0,0,0,0,0,,MOPAR1,05094275AD
7819,PCM,05094275 56029243 SKIM,06 RAM 1500 5.7L A/T ECU ECM PCM ENGINE CONTROL COMPUTER 56029243AH OEM TESTED,2,01.15.19,03.20.26,274.99,0,0,0,0,0,,MOPAR1,05094275AD
7820,PCM,05094275 56029307 SKIM,06 RAM 1500 5.7L A/T ECU ECM PCM ENGINE CONTROL COMPUTER 56029307AH OEM TESTED,2,11.12.21,03.20.26,264.99,1,1,1,1,1,,MOPAR1,05094275AD
7875,PCM,05094275 56029308 SKIM,06 RAM 1500 5.7L A/T ECU ECM PCM ENGINE CONTROL COMPUTER 56029308AH OEM TESTED,2,11.12.21,03.20.26,279.99,0,0,0,0,0,,MOPAR1,05094275AD
4192,PCM,05094355 05094401 FLASH,07 RAM 1500 5.7L 4X4 A/T ECU ECM PCM ENGINE CONTROL COMPUTER 05094401AL TESTED,3,12.10.19,03.13.26,149.99,0,0,0,1,1,,MOPAR1,05094355AD
420,PCM,05094355 05094402 FLASH,07 RAM 1500 5.7L 4X4 A/T ECU ECM PCM ENGINE CONTROL COMPUTER 05094402AL TESTED,3,07.31.19,03.13.26,149.99,0,1,1,2,4,,MOPAR1,05094355
7513,PCM,05094355 05094404 FLASH,07 RAM 1500 5.7L 4X4 A/T ECU ECM PCM ENGINE CONTROL COMPUTER 05094404AL TESTED,3,07.31.19,03.13.26,184.99,0,0,0,0,0,,MOPAR1,05094355
455,PCM,05094355 05094405 FLASH,07 RAM 1500 5.7L 4X4 A/T ECU ECM PCM ENGINE CONTROL COMPUTER 05094405AL TESTED,3,07.27.20,03.13.26,149.99,1,1,2,2,6,,MOPAR,05094355
4868,PCM,05094355 05094491 FLASH,07 DODGE RAM 1500 5.7L ECU ECM PCM ENGINE CONTROL COMPUTER 05094491AM TESTED,3,04.22.20,03.13.26,189.99,0,0,0,0,0,,MOPAR1,05094356AD
